Employee ID,Employee Name,Gender ID,Cancel,Fincode,Date of Birth,Disability ID,Veteran,Modify Date
3313,Catherine Santana PhD,1,1,552-45-5970,1997-08-02,,0,2024-08-22
8665,Valerie Bowen,1,1,303-07-4643,1992-03-15,,0,2024-05-30
5791,Jacob Williams,2,1,164-21-9717,1973-05-21,,0,2024-07-26
9239,Lawrence Proctor,1,0,850-59-5080,1969-10-24,1.0,1,2024-07-09
2542,Michael Bradley,1,0,211-78-1013,1987-06-13,1.0,0,2024-08-17
4950,Paula Larson,1,1,842-45-9919,1983-02-17,3.0,1,2024-09-19
8658,Dawn Bailey,1,1,366-52-2156,1997-10-17,3.0,0,2024-06-26
7244,Rachel Wolf,1,0,812-12-1014,1973-11-09,3.0,0,2024-09-01
3300,Kenneth Davis,2,1,094-24-6051,1970-05-30,1.0,1,2024-06-29
3354,Jill Hammond,1,1,778-22-2976,1988-07-13,3.0,1,2024-03-12
2927,Barry Baker,1,0,289-57-3266,1970-01-18,,0,2024-05-15
6031,Brittney Wood,1,1,511-34-0677,2003-12-01,1.0,1,2024-03-26
9306,Rodney Carter,1,0,385-11-1995,1991-03-07,3.0,0,2024-02-29
1913,Jennifer Johnson,1,1,710-80-5584,2001-06-29,,0,2023-10-15
9332,David Brown,1,0,164-96-8955,1999-03-09,3.0,0,2024-06-19
5358,Christina Owens,1,0,301-92-3733,1968-02-15,2.0,1,2024-04-13
9872,Gary Wells,2,1,340-60-9918,1968-01-30,3.0,1,2023-11-04
2463,Richard Melendez,1,0,271-87-8407,1988-07-17,2.0,0,2024-08-10
7287,Dr. Bradley Wilkerson,2,0,479-18-7825,1983-07-14,3.0,0,2024-01-28
3580,Brett Mathis,2,1,561-27-5735,1965-03-14,3.0,0,2024-01-01
6361,Kristy Robinson,1,0,556-44-7750,1986-01-28,1.0,0,2024-02-08
1930,Amanda Aguilar,1,0,017-44-1768,1988-03-26,1.0,1,2024-01-12
2585,Megan Jackson,2,1,277-45-4183,1993-03-20,2.0,0,2024-04-19
9481,Thomas Hawkins,2,1,337-57-7386,1988-08-28,1.0,0,2024-07-30
8679,Luis Chavez,2,0,051-97-1066,1977-10-15,,1,2024-07-28
7326,Cassandra Rodriguez,1,0,806-06-9680,1968-01-29,,1,2023-12-07
6621,Jacqueline Gardner,1,1,118-62-0491,1999-07-30,2.0,0,2023-12-24
1107,Jeffrey Delacruz,2,1,265-77-4081,1997-09-13,,1,2024-04-14
9235,Dylan Smith,1,0,695-89-6157,1987-04-16,,0,2024-09-21
1298,Daryl Cook,1,0,762-87-6138,1981-04-06,3.0,0,2023-11-11
8948,Amy Ford,2,0,448-95-3677,1979-11-08,1.0,1,2024-09-04
1424,Christopher Williams,1,0,499-39-3631,2000-01-21,,0,2024-06-09
9523,Hunter Fitzpatrick,2,0,326-86-4212,1990-04-25,,1,2024-07-25
5663,Kevin Knox,2,1,596-85-8404,1994-01-11,1.0,0,2024-03-05
1251,Kevin Garcia,2,0,755-89-5847,2003-11-28,,0,2024-02-19
6382,Travis Fox,1,0,101-64-6905,1969-09-12,,1,2024-06-20
6030,Joshua Barrett,2,0,607-77-6013,1993-08-15,1.0,1,2024-06-09
2243,Yolanda Blackburn,1,1,330-36-2918,1977-10-12,3.0,1,2024-01-03
6827,Justin Davis,2,0,820-09-9863,1975-01-18,,0,2024-03-25
2505,Laura Miller,1,1,740-12-8425,1970-09-15,1.0,0,2024-09-24
9387,Yvonne Scott,2,1,437-13-8654,1970-04-23,,0,2024-09-19
2080,Joseph Bowman,2,0,797-76-0737,1971-12-19,,0,2024-09-26
8092,John Walsh,1,0,173-91-0705,1973-08-22,3.0,1,2023-11-12
4653,Troy Frazier,1,1,892-60-9427,1977-03-26,2.0,1,2024-08-14
9506,Ryan Phillips,1,1,588-89-3998,1995-05-23,2.0,1,2024-09-24
9944,Christopher Morgan,1,1,407-63-9660,1992-02-14,1.0,0,2024-07-04
8899,Benjamin Thomas,2,1,620-59-5002,1990-06-18,2.0,1,2024-03-27
1242,Robert Franco,1,1,228-88-3620,1996-03-02,1.0,1,2024-05-27
9901,Ashley Davis,1,0,674-17-5225,1972-01-01,2.0,1,2024-03-19
2816,John Reid,1,0,560-01-3810,1994-02-18,3.0,1,2024-05-22
9702,Tony Williams,2,0,777-52-8829,1985-09-01,1.0,0,2024-05-01
9925,Donald Harrell,2,0,562-12-1585,1984-08-02,2.0,0,2023-10-20
7427,Roy Cooke,2,1,612-60-7466,1989-02-14,3.0,1,2024-03-20
2435,Robert Lewis,2,0,373-22-7494,1976-07-20,2.0,0,2024-09-03
2543,Timothy Stephenson,1,0,364-60-8074,1993-01-28,,1,2024-07-28
8463,Kathy Moore,2,0,567-07-7887,1983-03-28,,0,2024-03-01
5283,Michelle Parsons,2,0,279-07-4086,1998-12-23,3.0,0,2024-09-19
5574,Melissa Murphy,1,0,790-59-4893,1996-12-26,,1,2024-04-10
9987,Angela Cross,2,0,487-56-8942,1967-04-28,,1,2024-03-31
7621,Katherine Long,1,0,595-35-2782,1971-04-27,1.0,1,2024-03-21
2534,Christine Ramirez,1,0,770-62-1728,1984-01-12,2.0,1,2024-06-18
5084,Brian Wilson,1,0,420-78-5853,1973-11-20,1.0,0,2024-04-24
6367,Henry Hunt,1,1,260-87-8491,1988-03-12,2.0,1,2024-01-14
7457,Veronica Friedman,2,0,514-15-2094,1976-07-12,,0,2024-04-14
6564,Joseph Garrett,2,0,182-43-3724,1996-03-17,1.0,1,2023-12-15
2533,Stephanie Quinn,2,1,142-95-1981,1980-07-04,2.0,0,2024-03-05
3636,Ms. Judy Hodges DVM,1,1,814-74-3693,2001-08-16,2.0,1,2024-03-15
5816,Sarah Wilson,2,0,891-87-8808,1984-05-16,1.0,0,2023-11-17
7487,Anne Dominguez,1,0,160-71-1103,1969-04-30,3.0,0,2024-06-23
5886,Nicole Scott,1,1,555-98-1925,1969-06-01,2.0,1,2023-10-27
1078,Rebecca Mendoza,1,0,512-44-2152,1980-11-14,,1,2024-04-14
6124,Gregory Davis,2,1,518-18-4408,1971-01-30,2.0,0,2024-05-13
4552,Christopher Williams,2,1,285-99-2409,1990-12-04,,1,2024-04-18
5595,Jason Lopez,2,0,158-92-8943,1986-04-20,1.0,1,2024-04-17
4057,Mrs. Nancy Lee,1,0,223-59-7873,1988-03-03,2.0,0,2024-06-28
1888,Christine Meyer,1,0,695-05-8745,1993-07-29,,1,2024-08-23
5773,Tyler Guerrero,2,1,023-11-3435,1985-11-23,,1,2024-02-08
4079,Jacob Brown,1,1,533-96-3204,1977-03-04,1.0,1,2024-04-04
8903,Lisa Brown,2,1,818-95-2794,1981-08-11,2.0,1,2024-05-11
3451,David Gonzalez,2,1,791-28-0335,1969-04-17,2.0,1,2024-01-18
2956,Zachary Gamble,2,1,706-75-2223,1979-06-29,1.0,1,2024-05-28
8539,Bryan Hill,1,0,477-81-7300,2003-03-25,2.0,0,2024-09-26
6342,Annette White,2,0,471-62-9711,1970-09-05,1.0,0,2023-12-14
9719,Lydia Perez,1,0,845-38-6258,1982-12-15,2.0,1,2024-03-26
7735,Brian Thomas,1,1,119-85-0170,1990-09-13,3.0,1,2024-05-19
7306,Melody Lee,2,1,113-62-4109,1968-08-12,2.0,0,2024-02-16
7182,Laurie Romero,2,0,281-35-1205,1999-11-19,,1,2024-01-07
6202,Kimberly Soto,2,0,648-67-1333,1972-05-13,,1,2024-09-16
6068,Adam Daniel,2,0,314-42-0722,2002-06-21,3.0,0,2023-11-01
1123,Kenneth Simon,1,0,728-18-0626,1988-09-03,2.0,1,2024-01-08
1287,Ian Oliver,1,1,015-30-7586,1970-07-20,,1,2024-01-20
7761,Joshua Jones,2,0,886-38-8604,1990-12-10,,0,2023-11-24
2220,Gene Norris,1,1,471-09-6818,1974-01-22,2.0,1,2023-10-06
6520,Anthony Oconnell,1,0,246-81-4558,1971-06-23,1.0,1,2024-03-27
8820,Mark Owen,1,1,511-94-1324,1979-03-05,2.0,1,2024-03-26
7246,Amy Willis,1,1,613-39-4536,1981-11-09,1.0,1,2024-09-20
5214,Ann Leonard,1,0,303-35-4208,1977-03-09,3.0,1,2024-09-06
4418,Reginald Pierce,2,0,505-23-0749,1991-12-10,3.0,0,2024-07-07
4255,Brooke Sims,1,1,746-64-4874,1982-08-09,,1,2024-02-20
3769,Autumn Vang,2,0,102-57-4417,1988-02-25,,0,2024-04-17
